Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency
KEPULAUAN RIAU,298.52,28.56,852.54,2020,2.856,2.8558890526597884
JAKARTA,914.51,49.69,4543.93,2020,4.968999999999999,4.968704552164548
JAWA BARAT,1586888.63,56.82,9016772.58,2020,5.682,5.682044983837335
JAWA TENGAH,1666931.49,56.93,9489164.62,2020,5.693,5.6925942529287745
YOGYAKARTA,110548.12,47.35,523395.95,2020,4.735,4.734553152057222
JAWA TIMUR,1754380.3,56.68,9944538.26,2020,5.668,5.668405111480105
BANTEN,325333.24,50.88,1655170.09,2020,5.088,5.087614441118897
BALI,90980.69,58.49,532168.45,2020,5.849,5.8492461422308395
NUSA TENGGARA BARAT,273460.82,48.17,1317189.81,2020,4.817,4.816740511492652
NUSA TENGGARA TIMUR,181690.63,39.9,725024.3,2020,3.9899999999999998,3.9904330784697044
KALIMANTAN BARAT,256575.43,30.33,778170.36,2020,3.033,3.032910672701591
KALIMANTAN TENGAH,143275.05,31.96,457952.0,2020,3.196,3.196313663823534
KALIMANTAN SELATAN,289836.35,39.69,1150306.66,2020,3.969,3.968814332639781
KALIMANTAN TIMUR,73568.44,35.67,262434.52,2020,3.567,3.5672160507956945
KALIMANTAN UTARA,9883.05,33.97,33574.28,2020,3.397,3.397157760003238
SULAWESI UTARA,61827.86,40.25,248879.48,2020,4.025,4.025361382392986
SULAWESI TENGAH,178066.94,44.49,792248.84,2020,4.449,4.449162994545759
SULAWESI SELATAN,976258.14,48.23,4708464.97,2020,4.8229999999999995,4.822971278887365
SULAWESI TENGGARA,133697.15,39.85,532773.49,2020,3.9850000000000003,3.984927801377965
GORONTALO,48686.34,46.75,227627.2,2020,4.675,4.675381226027671
SULAWESI BARAT,64826.18,53.23,345050.37,2020,5.3229999999999995,5.322700951991926
MALUKU,28668.22,38.53,110447.3,2020,3.853,3.852604033316334
MALUKU UTARA,10301.91,42.11,43382.85,2020,4.211,4.2111462825825505
PAPUA BARAT,7570.63,32.2,24378.33,2020,3.22,3.2201190653882175
PAPUA,52727.52,31.48,166002.3,2020,3.148,3.148304718295114
ACEH,297058.38,55.03,1634639.6,2021,5.503,5.502755384312
SUMATERA UTARA,385405.0,52.0,2004142.51,2021,5.2,5.200094731516197
SUMATERA BARAT,272391.95,48.36,1317209.38,2021,4.836,4.835713316784875
RIAU,53062.35,40.98,217458.87,2021,4.098,4.098176390604638
JAMBI,64412.26,46.29,298149.25,2021,4.629,4.628765548670393
SUMATERA SELATAN,496241.65,51.44,2552443.19,2021,5.144,5.143548893971314
BENGKULU,55704.69,48.67,271117.19,2021,4.867,4.867044229130437
LAMPUNG,489573.23,50.77,2485452.78,2021,5.077,5.0767742754235154
BANGKA BELITUNG,18278.27,38.57,70496.25,2021,3.857,3.856833825083008
KEPULAUAN RIAU,270.16,31.65,855.01,2021,3.165,3.1648282499259697
JAKARTA,559.97,58.03,3249.47,2021,5.803,5.802935871564547
JAWA BARAT,1604109.31,56.81,9113573.08,2021,5.681,5.681391550554618
JAWA TENGAH,1696712.36,56.69,9618656.81,2021,5.669,5.668996723758174
YOGYAKARTA,107506.16,51.77,556531.03,2021,5.1770000000000005,5.176736198186225
JAWA TIMUR,1747481.2,56.02,9789587.67,2021,5.602,5.602113298844073
BANTEN,318248.46,50.38,1603247.0,2021,5.038,5.037721156608267
BALI,105201.31,58.83,618910.81,2021,5.883,5.883109345311385
NUSA TENGGARA BARAT,276211.88,51.39,1419559.84,2021,5.139,5.139387342789166
NUSA TENGGARA TIMUR,174900.07,41.85,731877.74,2021,4.1850000000000005,4.1845480107583715
KALIMANTAN BARAT,223165.74,31.9,711898.01,2021,3.19,3.189996860629235
KALIMANTAN TENGAH,125870.05,30.28,381189.55,2021,3.028,3.028437265258892
KALIMANTAN SELATAN,254263.59,39.97,1016313.55,2021,3.997,3.9970864487518645
KALIMANTAN TIMUR,66269.46,36.92,244677.96,2021,3.692,3.6921677043995826
KALIMANTAN UTARA,8880.83,33.74,29967.31,2021,3.374,3.3743816737849954
SULAWESI UTARA,59182.52,39.35,232884.76,2021,3.935,3.9350260854049477
SULAWESI TENGAH,182186.62,47.59,867012.77,2021,4.759,4.758926698349199
SULAWESI SELATAN,985158.23,51.67,5090637.23,2021,5.167,5.167329546645518
SULAWESI TENGGARA,127517.29,41.57,530029.08,2021,4.157,4.15652716584551
GORONTALO,48713.5,48.12,234392.86,2021,4.811999999999999,4.811661243803052
SULAWESI BARAT,59763.18,52.05,311072.46,2021,5.205,5.205085472359403
MALUKU,28319.75,41.24,116803.67,2021,4.1240000000000006,4.1244597851322835
MALUKU UTARA,7781.96,36.05,28050.8,2021,3.6049999999999995,3.604593187320418
PAPUA BARAT,6414.94,41.98,26926.93,2021,4.1979999999999995,4.197534193616776
PAPUA,64984.9,44.05,286279.8,2021,4.404999999999999,4.405328006967772
ACEH,271750.2,55.55,1509456.0,2022,5.555,5.55457180896279
SUMATERA UTARA,411462.1,50.76,2088584.0,2022,5.076,5.076005785222989
SUMATERA BARAT,271883.1,50.52,1373532.0,2022,5.0520000000000005,5.051921211726658
RIAU,51054.04,41.83,213557.2,2022,4.183,4.182963777205487
JAMBI,60539.59,45.88,277743.8,2022,4.588,4.5878044433403
SUMATERA SELATAN,513378.2,54.06,2775069.0,2022,5.406000000000001,5.405506116153743
BENGKULU,57151.84,49.27,281610.1,2022,4.9270000000000005,4.927402162380074
LAMPUNG,518256.1,51.87,2688160.0,2022,5.186999999999999,5.186933641495006
BANGKA BELITUNG,15107.8,40.66,61425.07,2022,4.066,4.06578522352692
KEPULAUAN RIAU,179.48,28.24,506.91,2022,2.824,2.8243258301760643
JAKARTA,477.25,48.98,2337.77,2022,4.898,4.8984180199057095
JAWA BARAT,1662404.0,56.75,9433723.0,2022,5.675,5.67474753429371
JAWA TENGAH,1688670.0,55.41,9356445.0,2022,5.5409999999999995,5.540718435218249
YOGYAKARTA,110927.2,50.64,561699.5,2022,5.064,5.063676898001573
JAWA TIMUR,1693211.0,56.26,9526516.0,2022,5.6259999999999994,5.626301742665268
BANTEN,337240.7,53.04,1788583.0,2022,5.304,5.303579905984064
BALI,112320.6,60.59,680601.6,2022,6.059,6.0594548106046435
NUSA TENGGARA BARAT,270092.9,53.79,1452945.0,2022,5.379,5.37942685646309
NUSA TENGGARA TIMUR,183092.0,41.29,756049.9,2022,4.129,4.129344264085815
KALIMANTAN BARAT,241478.6,30.28,731225.8,2022,3.028,3.0281184336831504
KALIMANTAN TENGAH,108226.8,31.78,343918.8,2022,3.178,3.1777600372550974
KALIMANTAN SELATAN,214908.9,38.13,819419.2,2022,3.813,3.8128676848655405
KALIMANTAN TIMUR,64970.01,36.85,239425.3,2022,3.685,3.6851664329434453
KALIMANTAN UTARA,8604.19,35.49,30533.59,2022,3.5490000000000004,3.5486884878181444
SULAWESI UTARA,58195.56,41.88,243730.3,2022,4.188000000000001,4.188125348394276
SULAWESI TENGAH,168993.2,44.05,744408.7,2022,4.404999999999999,4.4049624481931815
SULAWESI SELATAN,1038084.0,51.64,5360169.0,2022,5.164,5.163521449131284
SULAWESI TENGGARA,118258.8,40.5,478958.0,2022,4.05,4.050083376459088
GORONTALO,46823.47,51.29,240134.5,2022,5.129,5.128507135417345
SULAWESI BARAT,69323.95,50.99,353513.3,2022,5.099,5.099439659742412
MALUKU,23987.82,38.6,92601.06,2022,3.8600000000000003,3.860336620835074
