Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency,Produksi_lag1,Produktivitas_lag1,Area_lag1,Produksi_ma3,Produktivitas_ma3
JAKARTA,622.59,53.96,3359.31,2019,5.396,5.3957018262419885,4899.14,72.76,673.37,4129.225,63.36
JAKARTA,914.51,49.69,4543.93,2020,4.968999999999999,4.968704552164548,3359.31,53.96,622.59,4267.46,58.803333333333335
JAKARTA,559.97,58.03,3249.47,2021,5.803,5.802935871564547,4543.93,49.69,914.51,3717.57,53.89333333333334
JAKARTA,477.25,48.98,2337.77,2022,4.898,4.8984180199057095,3249.47,58.03,559.97,3377.0566666666673,52.23333333333333
JAKARTA,542.93,49.26,2674.28,2023,4.926,4.925644189858731,2337.77,48.98,477.25,2753.84,52.089999999999996
JAKARTA,498.31,46.29,2306.54,2024,4.629,4.6287250908069275,2674.28,49.26,542.93,2439.5300000000007,48.176666666666655
JAMBI,86202.68,44.44,383045.74,2018,4.444,4.443547926816197,,,,383045.74,44.44
JAMBI,69536.06,44.57,309932.68,2019,4.457,4.457150433889985,383045.74,44.44,86202.68,346489.20999999996,44.504999999999995
JAMBI,84772.93,45.58,386413.49,2020,4.558,4.558217935843436,309932.68,44.57,69536.06,359797.3033333333,44.86333333333334
JAMBI,64412.26,46.29,298149.25,2021,4.629,4.628765548670393,386413.49,45.58,84772.93,331498.4733333333,45.48
JAMBI,60539.59,45.88,277743.8,2022,4.588,4.5878044433403,298149.25,46.29,64412.26,320768.8466666667,45.916666666666664
JAMBI,61236.64,45.06,275941.45,2023,4.506,4.506149422959849,277743.8,45.88,60539.59,283944.8333333333,45.74333333333333
JAMBI,61625.68,45.6,281022.05,2024,4.5600000000000005,4.560145218681562,275941.45,45.06,61236.64,278235.76666666666,45.51333333333334
JAWA BARAT,1707253.81,56.51,9647358.75,2018,5.651,5.650805225029781,,,,9647358.75,56.51
JAWA BARAT,1578835.7,57.54,9084957.22,2019,5.754,5.754213196471299,9647358.75,56.51,1707253.81,9366157.985,57.025
JAWA BARAT,1586888.63,56.82,9016772.58,2020,5.682,5.682044983837335,9084957.22,57.54,1578835.7,9249696.183333334,56.95666666666667
JAWA BARAT,1604109.31,56.81,9113573.08,2021,5.681,5.681391550554618,9016772.58,56.82,1586888.63,9071767.626666667,57.05666666666667
JAWA BARAT,1662404.0,56.75,9433723.0,2022,5.675,5.67474753429371,9113573.08,56.81,1604109.31,9188022.886666669,56.79333333333333
JAWA BARAT,1583656.28,57.71,9140039.2,2023,5.771,5.771479149503325,9433723.0,56.75,1662404.0,9229111.76,57.09
JAWA BARAT,1475362.09,58.47,8626879.91,2024,5.8469999999999995,5.847296720224118,9140039.2,57.71,1583656.28,9066880.703333333,57.64333333333334
JAWA TENGAH,1821983.17,57.63,10499588.23,2018,5.763,5.762725146357966,,,,10499588.23,57.63
JAWA TENGAH,1678479.21,57.53,9655653.98,2019,5.753,5.752620540352121,10499588.23,57.63,1821983.17,10077621.105,57.58
JAWA TENGAH,1666931.49,56.93,9489164.62,2020,5.693,5.6925942529287745,9655653.98,57.53,1678479.21,9881468.943333333,57.36333333333334
JAWA TENGAH,1696712.36,56.69,9618656.81,2021,5.669,5.668996723758174,9489164.62,56.93,1666931.49,9587825.136666667,57.050000000000004
JAWA TENGAH,1688670.0,55.41,9356445.0,2022,5.5409999999999995,5.540718435218249,9618656.81,56.69,1696712.36,9488088.81,56.343333333333334
JAWA TENGAH,1642761.23,55.3,9084107.53,2023,5.529999999999999,5.5297795955410995,9356445.0,55.41,1688670.0,9353069.780000001,55.79999999999999
JAWA TENGAH,1554777.14,57.19,8891297.05,2024,5.718999999999999,5.718695510277442,9084107.53,55.3,1642761.23,9110616.526666665,55.96666666666666
JAWA TIMUR,1751191.67,58.26,10203213.17,2018,5.826,5.826439986435066,,,,10203213.17,58.26
JAWA TIMUR,1702426.36,56.28,9580933.88,2019,5.628,5.627811049636239,10203213.17,58.26,1751191.67,9892073.525,57.269999999999996
JAWA TIMUR,1754380.3,56.68,9944538.26,2020,5.668,5.668405111480105,9580933.88,56.28,1702426.36,9909561.770000001,57.07333333333333
JAWA TIMUR,1747481.2,56.02,9789587.67,2021,5.602,5.602113298844073,9944538.26,56.68,1754380.3,9771686.603333334,56.326666666666675
JAWA TIMUR,1693211.0,56.26,9526516.0,2022,5.6259999999999994,5.626301742665268,9789587.67,56.02,1747481.2,9753547.31,56.32
JAWA TIMUR,1698083.31,57.19,9710661.33,2023,5.718999999999999,5.7186012445997125,9526516.0,56.26,1693211.0,9675588.333333334,56.49
JAWA TIMUR,1616985.05,57.33,9270435.29,2024,5.733,5.73316079205556,9710661.33,57.19,1698083.31,9502537.54,56.926666666666655
KALIMANTAN BARAT,286476.03,27.92,799715.21,2018,2.7920000000000003,2.7915606412166487,,,,799715.21,27.92
KALIMANTAN BARAT,290048.44,29.23,847875.13,2019,2.923,2.9232190664428326,799715.21,27.92,286476.03,823795.1699999999,28.575000000000003
KALIMANTAN BARAT,256575.43,30.33,778170.36,2020,3.033,3.032910672701591,847875.13,29.23,290048.44,808586.9,29.16
KALIMANTAN BARAT,223165.74,31.9,711898.01,2021,3.19,3.189996860629235,778170.36,30.33,256575.43,779314.5,30.486666666666665
KALIMANTAN BARAT,241478.6,30.28,731225.8,2022,3.028,3.0281184336831504,711898.01,31.9,223165.74,740431.39,30.836666666666662
KALIMANTAN BARAT,224068.52,31.25,700290.8,2023,3.125,3.1253421944323105,731225.8,30.28,241478.6,714471.5366666667,31.14333333333333
KALIMANTAN BARAT,247207.72,30.94,764784.15,2024,3.0940000000000003,3.0936903993127722,700290.8,31.25,224068.52,732100.25,30.823333333333334
KALIMANTAN SELATAN,323091.21,41.09,1327492.41,2018,4.109,4.10872338495374,,,,1327492.41,41.09
KALIMANTAN SELATAN,356245.95,37.69,1342861.82,2019,3.7689999999999997,3.7694795407498667,1327492.41,41.09,323091.21,1335177.115,39.39
KALIMANTAN SELATAN,289836.35,39.69,1150306.66,2020,3.969,3.968814332639781,1342861.82,37.69,356245.95,1273553.63,39.49
KALIMANTAN SELATAN,254263.59,39.97,1016313.55,2021,3.997,3.9970864487518645,1150306.66,39.69,289836.35,1169827.3433333333,39.11666666666667
KALIMANTAN SELATAN,214908.9,38.13,819419.2,2022,3.813,3.8128676848655405,1016313.55,39.97,254263.59,995346.4700000001,39.26333333333333
KALIMANTAN SELATAN,214283.82,40.86,875545.73,2023,4.086,4.085916192832478,819419.2,38.13,214908.9,903759.4933333333,39.653333333333336
KALIMANTAN SELATAN,246112.42,41.83,1029567.93,2024,4.183,4.18332374286515,875545.73,40.86,214283.82,908177.62,40.27333333333333
KALIMANTAN TENGAH,147571.69,34.88,514769.05,2018,3.4880000000000004,3.488264246346979,,,,514769.05,34.88
KALIMANTAN TENGAH,146144.51,30.35,443561.33,2019,3.035,3.0350871887011013,514769.05,34.88,147571.69,479165.19,32.615
KALIMANTAN TENGAH,143275.05,31.96,457952.0,2020,3.196,3.196313663823534,443561.33,30.35,146144.51,472094.12666666665,32.39666666666667
KALIMANTAN TENGAH,125870.05,30.28,381189.55,2021,3.028,3.028437265258892,457952.0,31.96,143275.05,427567.62666666665,30.863333333333333
KALIMANTAN TENGAH,108226.8,31.78,343918.8,2022,3.178,3.1777600372550974,381189.55,30.28,125870.05,394353.45,31.340000000000003
KALIMANTAN TENGAH,101580.3,32.56,330781.05,2023,3.2560000000000002,3.2563503947123604,343918.8,31.78,108226.8,351963.1333333333,31.540000000000003
KALIMANTAN TENGAH,111016.13,32.98,366146.82,2024,3.2979999999999996,3.298140729639918,330781.05,32.56,101580.3,346948.88999999996,32.44
KALIMANTAN TIMUR,64961.16,40.45,262773.88,2018,4.045,4.045092175078154,,,,262773.88,40.45
KALIMANTAN TIMUR,69707.75,36.41,253818.37,2019,3.6409999999999996,3.6411786350872033,262773.88,40.45,64961.16,258296.125,38.43
KALIMANTAN TIMUR,73568.44,35.67,262434.52,2020,3.567,3.5672160507956945,253818.37,36.41,69707.75,259675.59,37.51
KALIMANTAN TIMUR,66269.46,36.92,244677.96,2021,3.692,3.6921677043995826,262434.52,35.67,73568.44,253643.61666666667,36.333333333333336
KALIMANTAN TIMUR,64970.01,36.85,239425.3,2022,3.685,3.6851664329434453,244677.96,36.92,66269.46,248845.92666666667,36.48
KALIMANTAN TIMUR,57082.01,39.76,226972.07,2023,3.976,3.9762452303273834,239425.3,36.85,64970.01,237025.11,37.843333333333334
